URL;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11;1.12;1.13;1.14;2.1;2.2;2.3;2.4;2.5;2.6;Fallos Nivel A;Fallos Nivel AA;Puntuación Media;Tipo
https://www.seguridadaerea.gob.es;0 F;0 F;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;0 F;1 P;0 F;0 F;0 F;1 P;1 P;0 F;1 P;5;3;5.8;PUB
https://www.igualdad.gob.es;1 P;1 P;1 P;1 P;0 F;0 F;0 F;1 P;0 F;1 P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;1 P;1 P;1 P;6;1;6.5;PUB
https://www.exteriores.gob.es/es/Paginas/index.aspx;1 P;1 P;1 P;- P;0 F;1 P;0 F;1 P;0 F;0 F;1 P;0 F;1 P;1 P;0 F;1 P;1 P;1 P;0 F;1 P;5;2;6.3;PUB
https://sede.muface.gob.es;0 F;0 F;0 F;1 P;1 P;0 F;0 F;1 P;- P;- P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;1 P;1 P;1 P;7;1;5.6;PUB
https://www.sedecatastro.gob.es;1 P;1 P;1 P;- P;0 F;1 P;0 F;1 P;1 P;0.5 P;1 P;1 P;1 P;0 F;0 F;0 F;1 P;1 P;1 P;1 P;3;2;6.8;PUB
https://cultura.sede.gob.es;1 P;1 P;1 P;- P;1 P;1 P;0 F;1 P;- P;- P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;2;2;7.6;PUB
https://firmaelectronica.gob.es;1 P;1 P;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;1 P;0 F;0 F;1 P;1 P;1 P;1 P;1 P;2;1;8.4;PUB
https://www.mjusticia.gob.es/es;0 F;0 F;0 F;- P;1 P;0 F;0 F;1 P;0 F;0 F;1 P;1 P;1 P;0 F;0 F;1 P;1 P;1 P;1 P;1 P;8;1;5.3;PUB
https://ceuta.transparencialocal.gob.es;1 P;0 F;1 P;- P;1 P;1 P;0 F;0 F;1 P;1 P;1 P;0 F;1 P;1 P;0 F;1 P;0 F;0 F;1 P;1 P;4;3;6.3;PUB
https://sede.agenciatributaria.gob.es;1 P;1 P;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;1;1;8.9;PUB
https://sedeclave.dgt.gob.es;1 P;1 P;0 F;- P;0 F;1 P;0 F;0 F;0 F;1 P;0 F;0 F;1 P;0 F;0 F;1 P;0 F;1 P;1 P;0 F;8;3;4.2;PUB
https://www.mdsocialesa2030.gob.es;1 P;1 P;1 P;- P;1 P;0 F;0 F;1 P;0 F;1 P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;4;1;7.4;PUB
https://www.educacionyfp.gob.es/portada.html;1 P;1 P;1 P;- P;1 P;1 P;0 F;1 P;1 P;1 P;1 P;0 F;1 P;1 P;0 F;1 P;1 P;1 P;1 P;1 P;2;1;8.4;PUB
https://www.aemps.gob.es;1 P;0 F;1 P;- P;1 P;0 F;0 F;0 F;1 P;1 P;1 P;0 F;1 P;0 F;0 F;0 F;1 P;1 P;0 F;1 P;6;3;5.3;PUB
